id catagory_id speed power maxQ maxP absP
191 11 660 110 58 400 400
192 11 710 110 62.8 400 400
193 12 372 75 37.5 400 60
194 12 420 90 50.6 400 60
195 12 472 110 61.5 400 60
196 12 490 110 65.6 400 60
197 12 500 110 65.8 400 60
198 12 530 132 69.9 400 60
199 12 590 160 80 400 60
200 12 372 75 46.4 400 100
201 12 420 90 54.9 400 100
202 12 472 110 63.9 400 100
203 12 490 110 67.6 400 100
204 12 500 110 68.2 400 100
205 12 530 132 72.8 400 100
206 12 590 160 82.8 400 100
207 12 372 75 58.6 400 200
208 12 420 90 66.5 400 200
209 12 472 110 68.5 400 200
210 12 490 110 68.7 400 200
211 12 500 110 70.9 400 200
212 12 530 132 74.7 400 200
213 12 590 160 84 400 200
214 12 372 75 54.9 400 400
215 12 420 90 58.4 400 400
216 12 472 110 65 400 400
217 12 490 110 67.7 400 400
218 12 500 110 69 400 400
219 12 530 132 73 400 400
220 12 590 160 81.8 400 400
221 13 330 110 63.3 400 60
222 13 372 132 81 400 60
223 13 420 160 95 400 60
224 13 472 185 111 400 60
225 13 530 250 120 400 60
226 13 330 110 72.5 400 100
227 13 372 132 85.5 400 100
228 13 420 160 98.5 400 100
229 13 472 185 115 400 100
230 13 530 250 125 400 100
231 13 330 110 80.4 400 200
232 13 372 132 89.6 400 200
233 13 420 160 102 400 200
234 13 472 185 116.8 400 200
235 13 530 250 127.6 400 200
236 13 330 110 80.8 400 400
237 13 372 132 87.6 400 400
238 13 420 160 99 400 400
239 13 472 185 112.3 400 400
240 13 530 250 126 400 400
241 14 266 132 79 400 60
242 14 298 160 105.3 400 60
243 14 330 185 126.2 400 60
244 14 372 220 146.8 400 60
245 14 420 380 164.1 400 60
246 14 472 355 170 400 60
247 14 266 132 97.7 400 100
248 14 298 160 114.3 400 100
249 14 330 185 131.7 400 100
250 14 372 220 152.3 400 100
251 14 420 380 172.1 400 100
252 14 472 355 190.1 400 100
253 14 266 132 108.3 400 200
254 14 298 160 120.3 400 200
255 14 330 185 134.8 400 200
256 14 372 220 154 400 200
257 14 420 380 174.3 400 200
258 14 472 355 194.2 400 200
259 14 266 132 106.3 400 400
260 14 298 160 119.7 400 400
261 14 330 185 133.7 400 400
262 14 372 220 151.8 400 400
263 14 420 380 171.5 400 400
264 14 472 355 181.36 400 400
265 15 236 220 123 400 60
266 15 266 250 162 400 60
267 15 298 280 185 400 60
268 15 330 315 213 400 60
269 15 372 400 231 400 60
270 15 398 450 244 400 60
271 15 236 220 147 400 100
272 15 266 250 173 400 100
273 15 298 280 195 400 100
274 15 330 315 225 400 100
275 15 372 400 245 400 100
276 15 398 450 260 400 100
277 15 236 220 162 400 200
278 15 266 250 180 400 200
279 15 298 280 205 400 200
280 15 330 315 230 400 200
281 15 372 400 258 400 200
282 15 398 450 273 400 200
283 15 236 220 160 400 400
284 15 266 250 175 400 400
285 15 298 280 195 400 400
286 15 330 315 225 400 400
287 15 372 400 245 400 400
288 15 398 450 260 400 400
289 16 210 315 202 400 60
290 16 236 400 246 400 60
291 16 266 450 282 400 60
292 16 298 500 316 400 60
293 16 330 630 342 400 60
294 16 210 315 220 400 100
295 16 236 400 260 400 100
296 16 266 450 300 400 100
297 16 298 500 339 400 100
