0	1
1	0.966
2	0.991
3	0.987
4	0.982
5	0.978
6	0.973
7	0.969
8	0.964
9	0.960
10	0.955
11	0.951
12	0.947
13	0.942
14	0.938
15	0.933
16	0.929
17	0.924
18	0.920
19	0.915
20	0.911
21	0.906
22	0.902
23	0.898
24	0.893
25	0.889
26	0.844
27	0.880
28	0.875
29	0.871
30	0.866
31	0.862
32	0.857
33	0.853
34	0.848
35	0.844
36	0.840
37	0.835
38	0.831
39	0.826
40	0.822
41	0.817
42	0.813
43	0.808
44	0.804
45	0.799
46	0.795
47	0.791
48	0.786
49	0.782
50	0.777
51	0.773
52	0.768
53	0.764
54	0.759
55	0.755
56	0.750
57	0.746
58	0.742
59	0.737
60	0.733
61	0.728
62	0.724
63	0.719
64	0.715
65	0.710
66	0.706
67	0.701
68	0.697
69	0.693
70	0.688
71	0.684
72	0.679
73	0.675
74	0.670
75	0.666
76	0.661
77	0.657
78	0.652
79	0.648
80	0.644
81	0.639
82	0.635
83	0.630
84	0.626
85	0.621
86	0.617
87	0.612
88	0.608
89	0.603
90	0.599
91	0.595
92	0.590
93	0.586
94	0.581
95	0.577
96	0.572
97	0.568
98	0.563
99	0.559
100	0.544
